"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,422.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,423.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,424.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,425.0
987.7005475000002,146.646768,146.64676799999998,1134.3473155000001,426.0
996.8005475000002,146.746768,146.746768,1143.5473155000002,427.0
996.8005475000002,146.746768,146.746768,1143.5473155000002,428.0
996.8005475000002,146.746768,146.746768,1143.5473155000002,429.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,430.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,431.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,432.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,433.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,434.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,435.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,436.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,437.0
996.8005475000002,146.246768,146.24676800000003,1143.0473155000002,438.0
996.8005475000002,146.246768,146.24676800000003,1143.0473155000002,439.0
996.8005475000002,146.246768,146.24676800000003,1143.0473155000002,440.0
996.8005475000002,146.246768,146.24676800000003,1143.0473155000002,441.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,442.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,443.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,444.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,445.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,446.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,447.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,448.0
996.8005475000002,146.246768,146.24676799999997,1143.0473155000002,449.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,450.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,451.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,452.0
996.8005475000002,146.246768,146.246768,1143.0473155000002,453.0
996.8005475000002,145.616768,145.616768,1142.4173155000003,454.0
996.8005475000002,145.616768,145.616768,1142.4173155000003,455.0
996.8005475000002,145.616768,145.616768,1142.4173155000003,456.0
989.8005475000002,152.61676799999998,152.616768,1142.4173155000003,457.0
989.8005475000002,152.166768,152.16676799999996,1141.9673155000003,458.0
989.8005475000002,152.166768,152.16676799999996,1141.9673155000003,459.0
984.8005475000002,157.166768,157.16676799999996,1141.9673155000003,460.0
984.8005475000002,157.166768,157.16676799999996,1141.9673155000003,461.0
984.8005475000002,157.166768,157.16676800000002,1141.9673155000003,462.0
984.8005475000002,157.166768,157.16676800000002,1141.9673155000003,463.0
